- kgethegilego	special
taelo ya semolao	lawful instruction / lawful order
taelotefeloposwa / phoustalotara	postal order
taetšaphetogokelelahlagaseng	sensing circuit
taetši / khiitaetši / taetšihlaloši	key
taetšo / tshwantšhetšo	illustration
taetšo ya meno a khokho / pontšho ya matswele a khokho	studs showing
taetšopaktheria	biological marker / biomarker
tafola	table
tafola / pentšhe	bench
tafola ya boingwadišo bja bakgethi	voter registration table
tafola ya dipampiri tša go bouta	ballot paper table
tafola ya go swaela ka enke	inking table
tahlegelo	forfeiture
tahlegelo go tša ikonomi	economic loss
tahlegelo ya matlotlo / tahlegelo ya khepetlele	capital loss
tahlegelo ya tša matlotlo	financial loss
tahlegeloriri / alophešia	alopecia
tahlelo ye e fošagetšego ya kgwele	foul throw
tahletšo	misrepresentation
taka	cement mortar
takakalaka	mortar
takamotaga / takakalaka	lime mortar
takamotsaro	slurry
takathitelo / taka / poleistera	plaster
talalerata	blue
talalerataboso	blue-black
talamorogo	green
talamorogwana	light green
talatshehla / talaleragatshehla	grey blue
talente	talent
talente ya mmino	musical talent / musikale talent
taletšo / memo	invitation
tama / aga letamo	dam up
tamati	tomato
tami / lepotlelo la ngwana / lebotlelo la ngwana / lebotlelonyantšhi	feeding bottle
tamolelo go tša mekitlana / tamolelo go tša dikoloto	debt mediation
tanka	tank
tanka ya bobolokelo	storage tank
tanka ya meetse	reservoir
tanka ya meetse	water tank
tankapodišetšo	septic tank
tankramo	tangram
tantologago / tatapologago	ductile
tantshi	dance
taoksaete ya sebabole / taoksaete ya salfa	sulphur dioxide
taolo	control
taolo	control / majority control
taolo ya boleng / taolo ya khwalithi	quality control
taolo ya ditšhelete	money management
taolo ya kotsi	risk management
taolo ya mašula	disaster management
taolo ya nako ya phetolelo	transitional authority
taolo ya photefoliyo	portfolio management
taolo ya profentshe / taolo ya profense / taolo ya provense	provincial administration
taolo ya tšhireletšo	security control
taologago / tatapologago / taramologago	elastic
taolokgwebo / taolo ya kgwebo	business management
taolomoya	air conditioning
taolompe	maladministration
taolompe	mismanagement
taolomuši	smoke control
taoloseitiriši / taolo ya go itiriša	automatic control
taolotatelano / taolotlhatlamano	sequential control
taolotefelo ya tšhelete posong / maniotara / maniodara	money order
taolotlhokomelotšofe	geriatric care management / elder care management / GCM
taolotshepetšo ya ditšhelete / manitharisimo	monetarism
tapišo	strain
tapola / letsapane	potato
taramologa	stretch
tate	father
tatelano	sequence
tatelano / tlhahlamano / mokgwatatelano / mokgwatlhahlamano	sequence
tatelano ya dikhii	key order / key sequence
tatelano ya dinomoro / tatelano ya dipalo	order of the numbers
tatelano ya go tantsha	dance sequence
tatelano ya maleba	correct sequence
tatelano ye e beilwego / tatelano ye e kgethilwego	specific order
tatelano ye e beilwego / tatelano ye e kgethilwego	specified order
tatelanotheoga	descending order
tatelanotshepetšo ya kabo	supply chain
tatišišo	follow-up
tatišišo	tracing
tatso / mohlodi	taste
tau	lion
tautshadi / taugadi	lioness
tayari	diary
tayotekabaseetša / dayotebakaseetša / LED	light emitting diode / LED
teatere ya mebileng	street theatre
teatere ya mmino	musical theatre
tebanyo	direction
tebeledišišo ya mmaraka / tekolo ya mmaraka	market survey / market research
tebelelego / lebopo	appearance
tebelelo / bogwa	view
tebelelo / mogopolo	point of view
tebelelohlakoretharo / ponagalohlakoretharo / tebeleloisomethriki	isometric view
tebelelokgahlamahlo	visual balance
tebelelokgahlamahlo	vitamin
tee	one
tee keteng / mili	milli-
teesomeng	deci
teetharong	third
tefelelo ya loune ya ntlo	mortgage payment
tefelelopele / go lefelela pele	up-front fee
tefelo	fee
tefelo / poreisi	charge
tefelo ya bommaditsela	brokerage fee
tefelo ya ditirelo	service fee / fee for service
tefelo ya ex gratia / tefelo ya boithaopo	ex gratia payment
tefelo ya go kompetša kgwedi ka kgwedi	monthly instalment
tefelo ya go posa	postage
tefelo ya go posa	postage stamp
tefelo ya kgwedi ka kgwedi	monthly contribution
tefelo ya mekitlana / tefelo ya dikoloto	debt repayment
tefelo ya phentšhene	pension contribution
tefelo ya poso	postage
tefelo ya thekišetšano	transaction fee
tefelo ya tlasetlase	minimum payment
tefelobaabihlare / tefelokabohlare	dispensing fee
tefelokholego / penefiti	benefit
tefelokholego ya bogolofadi / penefiti ya bogolofadi ka khepetlele	capital disability benefit
tefelopalune / tefelotšhaledi	balloon payment
tefelotirelo / tharifi	tariff
tefelotlaleletšo	co-payment
tefelotlaleletšo	excess
tefelotlaleletšo ya boithaopo	voluntary excess
tefelotlaleletšo ya motheo	basic excess
tefelotlaleletšo yeo e okeditšwego	additional excess
tefišo ya tšhomišo ya tsela	toll
tefišophedišo ya pele ga nako	early termination fee
tefo	payment
tefo ka kheše	cash payment
tefo ya tshepedišo	administration fee / administrative charge
tekanawatle	sea level
tekanelano ya boingwadišo ya maleba	adequate registration ratio
tekanelo ya matlotlo / tekanelo ya dithoto	capital adequacy
tekanetšo	level
tekano	symmetry
tekano / kelo	measure
tekantšho / papišotekantšho	equation
tekantšhohlaremmele	bioequivalence / biological equivalence / BE
tekanyamoya / taolamoya	air-conditioning
tekanyetšo	appropriation
tekanyetšo	budget
tekanyetšo / patšete	budget
tekanyetšo ya mogolo / sekala sa mogolo	pay scale
tekanyetšo ya mogolo / tekanyetšo ya moputso	salary scale
tekanyetšo ya mokitlana / tekanyetšo ya sekoloto	credit limit
tekanyetšo ya sehlare	dosage
tekanyetšo ya tshenyagalelo	estimate expenditure
tekanyetšo ya tša lapa / patšete ya tša lapa	household budget
tekanyetšo ya tšhelete go ya ka maemo a gauta	gold standard
tekanyetšohlaretaolo	maintenance dose / maintenance dosage
tekanyetšokoketšo	additional appropriation
tekanyetšompe	misappropriation
tekanyetšotokišo	adjustment estimate
tekanyo hlare phodišo	curative dose / CD
tekanyo ya tswala	interest rate
tekanyo ye e nepagetšego	accurate measurement
tekanyohlarearogantšhwa	divided dose / fractionated dose
tekanyohlarebagolong	adult dose
tekanyohlarehwibitšatlalo	erythema dose
tekanyohlarekoketšego	escalating dosage
tekanyohlarekotsikotsi	lethal dose / fatal dose
tekanyohlaremokaphišo	integral dose
tekanyohlarengwana	child's dose / pediatric dosage
tekanyohlarephodišo	curative dose / CD
tekanyohlarephodišo	effective dose / ED
tekanyohlaretheo	initial dose / loading dose
tekanyohlaretšatši	defined daily dose / DDD
tekanyosehlaretšhomišotee / sehlaretšhomišo gatee	unit dose / single dose
tekanyotharo / hlakoretharo	three-dimensional / 3D
tekanyotheo / tekanyo ya motheo ka diperesente	basis point
tekanyotšhupetšo ya bašomi le ba go se šome / rešiyo ya bašomi le ba go se šome	dependency ratio
tekatekanelo ya tša matlotlo	fiscal neutrality
tekatekano	equality
tekatekano	proportion
tekatekano / kelotekatekano / papišotekano / ekhwilibriamo / tekatekanelo	equilibrium
tekatekano / kelotekatekano / papišotekatekano	equilibrium
tekatekano / tekelelanyo	balance
tekatekano ya bong	gender equality
tekatekano ya merafe	racial equality
tekatekano ya sepolitiki	political equality
tekatekanokakaretšo	general equilibrium
tekatekanothwalong / tekatekanokhirong	employment equity
tekatlhaloganyo	brain teaser
tekeledi / phentulamo / phendulamo	pendulum
teketeke ya go tanya / togotogo ya go tanya	viscous
tekhouta / dikhouta / fetoša sebopego sa molaetša	decode
teko	test
teko / moleko	test
teko / tlhahlobo	test
teko le keletšotlhahlo ya boithaopo	voluntary counselling and testing / VCT
teko ya AIDS / teko ya phamokate / teko ya sephamola / teko ya twatši ya HIV	HIV test / Aids test
teko ya PCR / teko ya go lekola go ba gona ga HIV ka PCR	PCR test / polymerase chain reaction test
teko ya ka laporatori	laboratory test
teko ya ka pela / teko ya bjako	rapid test
teko ya kankere ya molomong wa popelo / teko ya dika tša kankere ka go gopa dinamana molomong wa popelo	Pap test / Pap smear
teko ya kelo ya baerase	viral load test
teko ya madi / tlhahlobo ya madi	blood test
teko ya seilwakemmele / teko ya seganwakemmele	antigen test
tekobathontšhi / teko ya kgoparara	large simple trial / LST
tekolo	survey
tekolo / kelo	assessment
tekolo ya babouti ka lebone	infrared light check
tekolo ya lenaneo la bakgethi / tekolo ya lenaneo la babouti	voter’s roll check
tekolo ya mafelelo	summative assessment
tekonyakišišo ya dihlare bathong	clinical trial
tekonyakišišo ya diokobatši	drug trial
tekopapišo	controlled trial
tekopelehlare	preclinical study
tekotaelosebokuboku	randomised controlled trial / RCT
tekotemošo	diagnostic test
tekotiišetšo / tekonetefatšo / tekokgonthišo	confirmatory test
tekotiišetšo ya diteko tša pele tša HIV	Western blot test
tekotirišaletlalo ya TB	tuberculin skin test / tuberculin test
tekotlhahlobo	screening test
tekotsebo	quiz
telefatša / lelefatša	lengthen
telele	long
telele	tall
telele go	longer than
temana	paragraph
temana / thabe	clause
temana ya molao	clause
tematheto	stanza
temo	cultivation
temogo	recognition
temogo / kelohloko / tsitsinkelo	observation
temogopalo	number concept
temokerasi	democracy
temokerasi ya batho fela	grass-roots democracy
temokerasi ya boemedi	indirect democracy
temokerasi ya boemedi	representative democracy
temokerasi ya botšeakarolo	participatory democracy
temokerasi ya go thewa godimo ga molaotheo	constitutional democracy
temokerasi ya mekgatlontši	multiparty democracy / plural democracy
temokerasi ya seboka	direct democracy
temokgwebo / kgwebo ya tša bolemi	commercial agriculture
temokrasi ya kagišo / pušobontši ya kagišo	conciliatory democracy
temoši	signal
temošonyana / lesedinyana	hint
tempele / ntlokgethwa	temple
tena / šišimiša	disgust
tenego	irritation
tengkgolo / lešala	typhoid fever / typhoid
terama / tiragatšo	drama
terama ya go bontšha ditiragalo tša nnete	docudrama
teratayameetlwa	barbed wire
terebe	grape
terekere	tractor
terene / setimela	train
tesimale	decimal
teteano / kitlano / kikitlano / tensithi	density
tetelo	expectation
teyemešunkwane	herbal tea
thaba	mountain
thabamollo	volcanic mountain
thabolu / thulaganyo ya dikabatho	tableau
thaele	tile
thaele / thaelese	tile
thaele ya go rulela / thaeletlhaka	roof tile
thaele ya mosaiki / thaele ya dibenyane	mosaic tile
thaelekhwari	quarry tile
thaelekokotlo / thaelepopotlo	ridge tile
thaelekota	shingle
thaeleseramiki	ceramic tile
thaemara	time switch
thaemarakelelamohlagase	timing circuit
thaeme	thyme
thaeming / peakanyo ya nako ya ditiragalo	timing
thaere	tyre
thaere ye e buduletšwego moya / thaere ye e pompetšwego / leotwana leo lepompetšwego	inflated tyre
thaetlele ye telele / thaetleletelele	long title
thaetlelekopana / thaetlele ye kopana	short title
thaga	songbird
thaga	weaver
thagelodinong	shot
thagelomorago	back pass / backward pass / ball back
thago go tšwa dipaleng	goal kick
thago ya diphenale	penalty shootout
thago ya go putla / thago ya go ngaya lepatlelo	crossfield pass
thago ya go se šitišwe / thagothwi	free kick
thago ya kgomaofetiše	two-touch passing
thago ya phenale	penalty kick / spot kick
thagokgole / letanta	long-range shot
thagoputla	square pass
thagothetologo	pivot kick
thagothwi	place kick
thagothwi ya go kgongwa ke dibapadi tše pedi goba go feta pele e leba dinong	indirect free kick
thagothwi ya go se šitišwe	direct free kick
thaka	gland
thaka	peer
thaka	tonsil
thaka yeo e rurugilego	swollen gland
thakakudumela	sweat gland
thakamaswi / thaka ya maswi	mammary gland / milk gland
thakampholo / thakatšhefi / thaka ya mpholo	poison gland {e.g. snakes / scorpions}
thakaphitšhuthari	pituitary gland / pituitary
thakaphitšhuthari	pituitary gland / pituitary / hypophysis
thakešopo	tuck shop
thakgoga	take-off
thakgogo	take off
thala	draw
thala / kemola	pimple
thala / terowa / drowa	draw
thala sekala	scale drawing
thaliki	talc / talcum powder
thanele	tunnel
thangsetene	tungsten
thapalego / tšhitlelopoleiti	gusset plate
thapama / manthapama / ka meriti	afternoon
thapamo / taekonale	diagonal
thapelo	prayer
thapenthaine	turpentine
thapilego / kolobilego	wet
thapiša / kolobiša	wet
thapo	capsule
thapo	cord
thapo	stone
thapo / lenti	string
thapo / lerala / lenti	rope
thapo ya lebone / pete	wick
thapo ya mohlagase / kheipolo ya mohlagase	electrical cable
thapo ya mohlakase / kheipole / kheibole	cable
thapohlagasegotetšwa	live wire
thapokatološamohlagase / thapokatološi ya mohlagase	extension cord
thapotharo ya mohlagase	three-wire cord / three-wire electrical cord / three-cord wire
tharo	three
tharo ka matlafatšo ya pedi	three squared
tharollo / karabo	solution
tharollo ya palorara	problem solving
tharollo ya thulano	conflict resolution
tharollontšu	crossword puzzle
thata	solid
thatana ya folaga / phatana ya folaga	flagpost
thatana ya go opediša	baton
thathariki	tartaric acid
thathu / mokgwayo wa letlalo	tattoo
thea lefsa	rename
thebetho	pulse
theeletšo ya maikutlo a setšhaba	public hearing
theiphi ya go laetša mellwane	demarcation tape
theipi	tape measure
theipi ya go kgomaretša	masking tape
theipi ya go kgomaretša	sticky tape
theipi ya go khupetša / theipikhupetši	insulation tape
theipi ya tšhireletšo	security tape
theipitekanyo / theipi	tape measure
thekele	tackle
thekele / lowisi	lewis
thekeno / mmino wa eleketheroniki wa go phakiša	techno
thekenolotši ya setšo	traditional technology
thekesi	taxi
thekga	support
thekga	wedge
thekgo ya kalafo	treatment support
thekgo ya monagano le kagišo	psychosocial support / PSS
thekgo ya phepo	nutritional support
thekgomotheo	underpinning
thekgoputlano	cross bridging
thekiniki ya segologolo / thekiniki ya setlelasiki	classical technique
thekišegonolo / likhwidithi	liquidity
thekišetšano	business transaction
thekišetšano ka mokitlana / thekišetšano ka sekoloto	credit transaction
thekišetšontle ka ditefelo tša tlase	dumping
thekišo ya pele ya dišere	flotation
thekišothwii go badiriši	retail
thekniki	technique
theknikithibelatwatši	aseptic technique
theknolotši	technology
theknolotši ya tshedimošo le kgokagano	information communication technology / ICT
theko	cost
theko / poreisi	price
theko / poreisi	purchase price
theko ya dithoto / khephetlele ya ditshenyegelo	cost of capital
theko ya faporiking / theko ya femeng	factory price
theko ya fasefase	least expensive / cheapest
theko ya godimodimo	most expensive
theko ya magareng / preisi ya magareng	average price
theko ya mmarakeng / theko ya mmaketeng	market price
theko ya tekatekano	equilibrium price
thekomoka	total cost
thekomoka	total price
thekopeeletšo	lay-by / layby
thekothekišo / go reka le go rekiša sammaletee	arbitrage
thelara	teller
thelebišene	television / television set
thelebišene / thelevišene	television / television set / TV set / television
thelebišene / thelevišese	television / TV
thelela / relela / boreledi / mathume / matoka	fine
thelevišene / thelebišene	television set / television / TV
theminale	terminal
themišomadi / kgahlišomadi	coagulation
themo / thema	meningitis
themophlastiki / themoplastiki	thermoplastics / thermoplastic
themostate	thermostat
themphereitšha	temperature
themphereitšha ya mmele / go fiša le go tonya ga mmele	temperature / body temperature
themphereitšha ya mmele / phišo ya mmele	body temperature
themphereitšhatikologo	ambient temperature
thempheretšha / kelophišo	temperature
thempheretšha ya fase	minimum temperature
thempheretšha ya godimodimo / thempheretšha ya maksimamo	maximum temperature
themphone	tampon
theo	basis
theo / motheo	principle
theoga	descend
theoga	dip
theogo	decline
theotheo	basic principle
theošo ya boleng	devaluation
thepaine	turbine
thepoditho	paralysis
therankana / khanistara	canister
therariamo	terrarium
therasete	trust
therasete ya wili / therasete ya thesetamente	testamentary trust / will trust
therasitii / moswaredi	trustee
therifi	tariff
therišano	consultation
therišano	negotiation
thero	sermon
theroma	trauma
thetelommele	immunity
thethanase	tetanus
thetofatšo philisi / go khoutha philisi	coating
thetofatšophilisi / go khoutha philisi	coating
thetogale / kanegogale	epic work
thetokanegelo	poetic narration
thetosello / seretosello	elegy
thibela	debar
thibela	prevent
thibela / ganetša	inhibit
thibela, šitiša	prevent
thibelago moya / tswalelago moya	airtight
thibelapelego / thibelakimo	contraception
thibelatshenyego	preserve
thibelo / tšhitišo	prevention
thibelo ya kgwele / thibelo ya bolo / tšhitišo ya bolo / tšhitišo ya kgwele	intercept
thibelo ya nakwana	moratorium
thibelo ya phetetšo go ngwana ka mmagwe	prevention of mother-to-child transmission / PMTCT
thibelo ya tšhomišo	excludability
thibelokelela ya mohlagase	resistance
thimpa / boleng bja segalo	timbre
thine / tšhitswana	tin
thitelo	cobble
thiyamine	thiamine
thišu	tissue
thobalano	sexual activity
thobalano	sexual contact
thobalano / go gotana / go nyobana	sex / intercourse / copulation
thobalano / thobalo / go nyobana	penetrative sex
thobalano ka molomo	oral sex
thobalano le wa madi	incest
thobalano ya bong bjo sa swanego	heterosexual intercourse
thobalano ya lerato / kgotano ya lerato / nyobano ya lerato	intimacy
thobalano ya motho le phoofolo	bestiality
thobalano ya sewelo	casual sex
thobalano yeo e bolokegilego	safer sex
thobego	fracture
thobegonolo	brittleness
thogako / nyefolo	insult
thokho	torque
thokong / nngeng / lehlakoreng	direction
tholo	kudu
tholomodiro / phentšhene	retirement
thoma	start
thomelomoyeng	transmission
thomo ya go hwetša ditaba	fact-finding mission
thomološa tšhomišo ya khomphyutha / thomološa tšhomišo ya khompiyutha	reboot
thoniki solefa / mohwa wa go ngwala dinoto	tonic solfa
thopa	colonize
thoro	grain
thoro ya korong	wheat grain
thoro ya lefela / peu ya lefela / peu ya lehea / peu ya mmidi	mealie seed
thorofatšo	granulation
thorofatšokomišo	dry granulation
thorofatšoseela	wet granulation
thorwana ya lerole	dust particle
thosola	syphilis
thosola / saefilisi	syphilis
thosola / sejabakgolo / mantlalekgeru	Scotch thistle
thothompetša kgwele / totompetša kgwele / teka kgwele	juggling
thoto / letlotlo	asset
thoto / morwalo / phahlo / phahla	cargo
thoto ya go se rekišege ga bonolo	fixed property / fixed asset
thoto ya go šuthišega	movable property
thoto ya mokitlana / thoto ya sekoloto	encumbered asset
thoto ya peeletšo	investment property
thoto ya phoraefete / thoto yeo e sego ya mmušo	private property
thoto ya setšhaba	communal ownership
thoto ya setšo / lefa la setšo	cultural asset
thoto yeo e kgomegago / thoto yeo e kgwathegago	tangible asset
thoto yeo e rekišegago gabonolo	liquid asset
thoto yeo e sa kgwathegego	intangible asset
thoto yeo e sa kgwathegego	intangible asset / see tangible asset
thoto yeo e sa rekišegego gabonolo	non-liquid asset
thoto yeo e tlišago dipoelo / thoto yeo e hlokago kotsi	risk-free asset
thotšhe	torch
thrankhwilaesa / therankhwilaesa	tranquilliser / tranquillizer
thransfoma / transfoma	transformer
thranslusente / galase ye e sa bonatšego	translucent
thraote	trout
thraote	trout hatchery
threi ya bomedišetšo	germinating tray
threyi	tray
throposfie	troposphere
thulagano	outline
thulano	conflict
thulano ka phošo	accidental collision
thulano kalafo / tšhupo thulano	contraindication / counter-indication
thulano ya dikganyogo	conflict of interest
thulano ya diokobatši goba dihlare / tšhitišano ya diokobatši goba dihlare	drug interaction
thulanokalafo / tšhupothulano	contraindication / counter-indication
thulelobjang / tlhakabjang	thatch roof
thulelomansate / tlhakamansete	mansard roof
thulelomoedintotoma / tlhakamoedintotoma	hip and valley roof
thulelontotoma / tlhakantotoma	hip roof
thulelontotomaphiramiti / tlhakantotomaphiramiti	pyramid hip roof
thulelontotomaripša / tlhakantotomaripša	half-hip roof
thulelopolata / tlhakapolata / polata	flat roof
thuleloputlano / tlhakaputlano	cross gable
thuleloputlanontotoma / tlhakaputlanontotoma	cross hipped roof
thulelosekabora	vault
thulelosesale / tlhakasesale	saddle-back roof
thulelotala / thulelo ya go ba le dibjalwa	green roof
thulelotatelano / tlhakatatelano	curb roof
thunara ya radio	tuning button
thunya / khukhuša	blossom
thuo ya diphoofolo	kingdom
thupa / kgati	stick
thurugo ya ditho tša ka gare tša letheka la mosadi	pelvic inflammatory disease / PID
thurugoihlo / therakhoma	trachoma
thurugommele / odima	oedema / edema
thutadimela	botany
thutafalo ya lefase	global warming
thutafase	geography
thutakgatelelodiela	hydraulics
thutamahlale / saense	science
thutamahlaletlhago	natural science
thutapalo / dipalo	arithmetic
thutišo / modirwana	exercise
thutlwa	giraffe
thuto	lecture
thuto	lesson
thuto	moral
thuto ka tša mpholo / thotompholo	toxicology
thuto ka tša thobalano	sex education
thuto ya badiriši / thuto ya bareki	consumer education
thuto ya badudi	civic education
thuto ya bakgethi	voter education
thuto ya bolwetši bja AIDS / thuto ya bolwetši bja phamokate / thuto ya bolwetši bja sephamola	Aids education
thuto ya botšeadiswantšho	photography
thuto ya jese	jazz education
thuto ya sethaka / thuto ya semphato	peer education
thuto ya tša matlotlo	financial education
thuto ye e theilwego godimo ga dipoelo / OBE	outcomes-based education / OBE
thutoditho / anathomi	anatomy
thutohlare	pharmacology
thutopeakanyo ya didirišwamošomong / erkonomitse	ergonomics
thušo go tša ikonomi	economic aid
thušo ya go tšwa dinageng di šele	foreign aid
thušo ya tša kalafo	medical help
thwaene / thapo	twine
thwalo ka sekgotse	cronyism
thwii	straight
tibile / tona / rotola	dull
tielelo ya ditheko	price stability
tiilego / kgwahlilego / swarelelago	sturdy
tiiša	stabilize
tiišetšo	reinforcement
tiišetšo ya go bušetšwa tšhelete	money-back guarantee
tiišo / kgwahlišo	curing
tikano / modikologo	perimeter
tikasebešo	mantlepiece / mantelpiece
tikologo	area
tikologo	background
tikologo	environment
tikologo	surroundings
tikologo / pinagare / phibote / phivote	pivot
tikologo / sediko / tselantikodiko	circuit
tikologo ya diphoulong	polar region
tikologo ya mašula	disaster area
tikologo ya palamente ya probentshe / tikologo ya palamente ya profense / tikologo ya palamente ya provense	precincts of parliament
tikologo ya tlhago	natural environment
tikologonagadimo	highveld region
tima	switch off
timolo	dilution
tipa / tlopetša	dip
tipositi / tšheletepolokwa	deposit
tiragalo	incident
tiragalo ya semaka	phenomenon
tiragalo ya sepolitiki	political event
tiragalompeseletelwe kalafong	sentinel event
tiragatšo	administration
tiragatšo	application
tiragatšo	performance
tiragatšo	rendition
tiragatšo ya disorokisi ka moswinki	trapeze act
tiragatšo ya jese	jazz performance
tiragatšo ya mmino	musical performance / musical recital
tiragatšo ya mmino wo o lokologilego	extravaganza
tiragatšo ye botse / tiragatšo ya go kgahliša	spectacular
tiragatšo ye kgolo ya mmino	music extravaganza
tiragatšokopelo	vocal performance
tirelo	rite
tirelo ya bohlodi	intelligence service
tirelo ya lenyalo	marriage ritual
tirelo ya melaetšakopana	SMS / short messaging service / short message service
tirelo ya mmušo	public service / civil service
tirelo ya setšhaba	public service
tirelo ya tša boeletši go tša matlotlo	intermediary service
tirelo ya tša matlotlo	financial service
tirelofofane ya kgwebo / kgwebo ya ditirelo tša difofane	commercial airline
tirelokgašo / tirelotlhagišomoyeng	broadcasting service
tirelokgašo ya go se lefelwe	free-to-air service
tirelokgašo ya selegae	community broadcasting service
tirelokgašo ya setšhaba	public broadcasting service
tirelokgašo ya thelebišene ya go lefelwa / ditšhanele tša thelebišene tša go lefelwa	pay TV / pay channel
tirelokgašo ya tša kgwebo	commercial broadcasting service
tirelothekgo ya setšhaba	community support service
tirišano go tša mmino	musical collaboration
tirišo	application
tirišo	function
tirišo	operation
tirišo ya theknolotši / tlhamo ya theknolotši	technological process
tirišoleboelela / go šomiša gape / tšhomišogape / go risaekela	recycling
tirišompe ka thobalano / tlhorišo ka thobalano / tshotlo ka thobalano / tlaišo ka thobalano / tlhakišo ka thobalano	sexual abuse
tirišompe ya bjala	alcoholism
tirišompe ya ditšhelete	misuse of funds
tirišotaetšo	practical demonstration
tirišotokišo	affirmative action
tirišotswalano	related operation
tiro ya kelotlhoko / tiro ya thibelo / tiro ya tlhokomelo / tiro ya temošo	precaution
tiro ya setšo	cultural activity
tiroatla / bobetli	craft
tiroatla / mošomo wa diatla	handiwork
tirošo ya kgopolo / tirišo ya memori	memory function
tisele / disele	diesel
tisikase	discus
tiski ya modumopono ya titšithale	DVD / digital versatile disc
titielo / pedišo / tlhabego	fermentation
titikwane / lehwama	fetish
tlabego / semaka	surprise
tladi / pekenyo ya legadima	lightning bolt
tlaišego / tshwenyego	suffering
tlaišo ya bana	child abuse
tlala	spread out
tlala seripagare / seripagaretlala	half-full
tlalelano / tlhobaelo	anxiety
tlaleletšo	supplement
tlaleletšo / setlaleletši	supplement
tlaleletšo ya pholisi / phaphelelo ya pholisi	extension
tlalelo	disadvantage
tlatša	fill in
tlebola / ebola / phila / kgapolotša	peel
tlelaemete / tllaemete	climate
tlelaente / modirelwa	client
tlelafo	glove
tlelafo ya lathekese	latex glove / surgical glove
tlelefe ya peisi	bass clef
tleleima / tlleima / bela	claim
tleleime	claim
tleleime ya inšorentshe	insurance claim
tleleime yeo e gannwego / tleleime yeo e latotšwego	rejected claim
tleleserini	glycerin / glycerine / glycerol
tleleserini / sethemiši	glycerin / glycerine / glycerol
tleloko ya go letšwa ke moya	wind chime
tlelorine / tllorine	chlorine
tleloupu / tlloupu	light bulb
tlelukhouse / tllukhouse	glucose
tletše	full
tlhabelo	immunisation
tlhabelo	injection
tlhabollo ya diintaseteri / tlhomo ya di intaseteri	industrialisation
tlhabollo ya tša botaki / tlhabollo ya tša bokgabo	artistic innovation
tlhaelelo	deficit
tlhaelelo ya dibithamine	vitamin deficiency
tlhaelelo ya mašole a mmele	immune deficiency / immunodeficiency
tlhaelelo ya meetse mmeleng / gagalala / gwalala	dehydration
tlhaelelo ya okisitšene mmeleng	hypoxia
tlhaelelohlare	medication shortage
tlhaelelomadi / anemia	anaemia
tlhaelelotekanyetšo / tlhaelelo ya patšete	budget deficit
tlhaelo	shortfall
tlhaga / hlaga	open fire
tlhagalo / konalo	wear
tlhagišo ya molaokakanywa	introduction
tlhagišopalo / tlhagišonomoro	numerical expression
tlhagišotshwantšhwa / tlhagišo ya taekramo	diagrammatic presentation
tlhago	natural
tlhago	nature
tlhago / semelo	nature
tlhahli / mohlala	clue
tlhahli / sethuši	guide
tlhahlo ya bakgethi	voter education
tlhahlo ya semolao	lawful direction
tlhahlo ya tša kalafo	medical training
tlhahlobo	check-up
tlhahlokeletšo	counselling
tlhahlokeletšo ya balekane	couple counselling
tlhahlokeletšo ya ka morago ga diteko / kgothatso ya ka morago ga diteko	post-test counselling
tlhahlokeletšo ya pele ga diteko	pre-test counselling
tlhahlošo ya ditheko ntle le mabaka	bubble
tlhahlošo ya kelo ya tswala	crowding out
tlhaka	letter
tlhaka / marulelo	roof
tlhaka ya Dutch / tlhakasetoiši / thulelosetoiši	Dutch gable roof
tlhakagodimo / thulelogodimo	built-up roof
tlhakahlakano / tšharakano	complication
tlhakaitshamela	lean-to roof
tlhakakamporele / thulelokamporele	gambrel roof
tlhakakobi / tlhakasekabora	bowstring truss
tlhakakotumela / thulelokotumela	mono-pitch roof / single-pitch roof
tlhakalegapi / tlhokakgapetla	shell-less
tlhakanelo	coalition
tlhakanelo ya dithoto	in community of property / Republic of South Africa
tlhakantotobolo / thulelontotobolo	domed roof
tlhakantšhopoeletšo	repeated addition
tlhakanyaditho / khomphaonte	compound
tlhakanyotsepamo	vertical addition
tlhakarurubele / thulelorurubele	butterfly roof
tlhakatsenyalesedi / thulelotsenyalesedi	skylight / roof light
tlhakatsepamolekeleke / thulelotsepamoleke	clerestory roof
tlhakatshekamo / thulelotshekamo	shed roof
tlhakatšhollelahlakorenne / thulelotšhollelahlakorenne	bonnet roof
tlhakgama	pellagra
tlhakišo ya matlotlo / go oditha	audit trail
tlhako	framework
tlhako / ngatha / kgatha	hoof
tlhakošo	audit
tlhale / garane / gare	yarn
tlhale / gare / lenti	fibre
tlhale ya go balela / garane ya go balela	weft
tlhalo	divorce
tlhalosadinyakwa	specification
tlhalošetšo / taodišetšo	statement
tlhalošo	explanation
tlhalošo	meaning
tlhalošo / taodišo	description
tlhamego	composition
tlhamego ya modu / mokgwa wa peakanyomodu	root system
tlhamegohlare	dosage formulation
tlhamegorapontle / eksoskelethone	exoskeleton
tlhamo	composition
tlhamo	design
tlhamo	invention
tlhamo / popo	formation
tlhamo ya mananeotirišo a khomphyutha / peakanyo ya mananeo / go phrokrema / go prokrema	programming
tlhamo ya mmino	musical composition
tlhamo ya tšeomethiri	geometric design
tlhamokhemikhale / sinthesisi	synthesis
tlhamopono	visual composition
tlhaolo	nomination
