- kgethegilego	special
Letšatši la Ditokelo tša Botho	Human Rights Day
Letšatši la Lapa	Family Day
Letšatši la Matswalo a Morena / Keresemose	Christmas Day
Letšatši la Mediro ye Mebotse	Day of Goodwill
Letšatši la Ngwaga wo Moswa	New Year's Day
Letšatši la Poelano	Day of Reconciliation
Letšatši la Tokologo	Freedom Day
Lliki ya Dinkgwete tša Afrika	African Champions League
Llikikgolo ya Kgwele ya Maoto	Premier Soccer League
MINMEC / foramo ya tona le maloko phethiši	MINMEC
Mandrax / dipilisi tša ditagi	Mandrax
Matšhe	March
Mbube / mohuta wa mmino wa Sezulu	Mbube
Mei	May
Mmušo wa Botee bja Setšhaba	Government of National Unity / GNU
MoAfrika	African
Moahlodimogolo	Chief Justice
Moetapele wa Lekgotlakgolo la Kganetšo	Leader of the Official Opposition
Moetapele wa Ngwako	Leader of the House
Mogala wa thušo ya bana	Childline
Mohindu	Hindu
Mohlakišipharephare	Auditor-General
Mohlami wa Hansard	Hansard reporter
Mohlankedi wa Dikgetho tša Mmasepala / MEO	Municipal Electoral Officer / MEO
Mokeresete	Christian
Mokgatlo wa Diinšorentshe wa Aforika Borwa	South African Insurance Association
Mokgatlo wa Dimusiamo wa Afrika Borwa	South African Museums Association
Mokgatlo wa Keletšo ka Dinotagi	Alcoholics Anonymous / AA
Mokgatlo wa Pušoselegae wa Afrika Borwa / SALGA	South African Local Government Association / SALGA
Mokibelo	Saturday
Molao wa Dikgetho	Electoral Act
Molao wa Dikoloto wa Bosetšhaba	National Credit Act / NCA
Molao wa Khomišene ya Dikgetho	Electoral Commission Act
Molaodi wa Dikoloto wa Bosetšhaba	National Credit Regulator / NCR
Molaokakanywa wa Dikgetho	Electoral Bill
Molawana wa Boitshwaro wa Dikgetho	Electoral Code of Conduct
Molekgotlaphethiši	Member of the Executive Council / MEC
Molekgotlaphethišo / Leloko la Lekgotlaphethišo / Mokhuduthamaga	Member of the Executive Council / MEC
Mongwaledi wa Palamente	Secretary to Parliament
Motheo wa Dibitio le Difilimi wa Bosetšhaba	National Film and Video Foundation / NFVF
Motlatšasepikara	Deputy Speaker
Mozulu	Zulu
Mošireletši wa Setšhaba	Public Protector
Mošupologo	Monday
Naga ye e Hlabologilego	First World country
Naga ye e Hlabologilego	Third World country
Nofemere	November
Ntwa ya tokologo	Struggle
Oktobere	October
Panka ya Lefase	World Bank
Panka ya poso	Postbank
Pankatlhabollo ya Borwa bja Afrika	Development Bank of Southern Africa / DBSA
Papadi ya Boditšhabatšhaba ya Bafsa	Youth International Match
Paseka	Easter
Paseka	Good Friday
Paseka	Pesach / Passover
Phapoši ya Palamente	Chamber of Parliament
Phathaphatha	Phata-Phata
Pukungwadišetšo ya Setšhaba ya Dithoto tša Mmušo	National Register of State Assets
R&B / morethetho le maikutlo	R&B / rhythm and blues
Ramadan / Paka ya matšatši a 30 a go šupa kgwedi ya bosenyane ya ngwaga wa ma Muslim	Ramadan
Ramolaopharephare	Attorney-General
SAFA / Mokgatlo wa Kgwele ya Maoto wa Afrika Borwa	SAFA / South African Football Association
SAFPU / Mokgatlokopano wa Baraloki ba Kgwele ya Maoto wa Afrika Borwa	SAFPU / South African Football Players Union
Sabatha	Sabbath
Sebjana sa Dinaga tša Afrika / Mogopo wa Dinaga tša Afrika	African Cup of Nations
Seboka sa Maloko a Palamente	National Assembly / NA
Sefapano	the Cross
Sekgowa / Sekgowa	eng
Sekhwama sa Inišorentshe ya ge o feletšwe ke mošomo	Unemployment Insurance Fund / UIF
Sengwalwa sa Ditokelo tša Botho	Charter of Human Rights
Sepikara	Speaker
Sepikara sa Lekgotlatheramelao la Bosetšhaba / Mosepikara wa Lekgotlatheramelao la Bosetšhaba	Speaker of the National Assembly
Sepikara sa Palamente / Mosepikara wa Palamente	Speaker of Parliament
Setemere	September
Setho sa Palamente	Member of Parliament / MP
Sešole sa Afrika Borwa	South African Army
Sinteromo ya Down	Down's syndrome
T / masome	tens / T
TB ya go palela diokobatši / bolwetši bja go palela diokobatši	multiple-drug-resistant tuberculosis / MDR-TB / multi-drug resistant TB
